Продукт;Бел, г;Жир, г;Угл, г;Кал, ккал;
Овсяная каша Myllyn Paras с клубникой без сахара;11,90;7,90;56,30;353,00;
Овсяная каша Myllyn Paras с клубникой и сахаром;11,90;7,90;60,80;362,00;
Овсяная каша Myllyn Paras с клюквой без сахара;11,90;7,90;56,30;353,00;
Овсяная каша Myllyn Paras с лесными ягодами и сахаром;11,60;7,70;61,80;363,00;
Овсяная каша Myllyn Paras с малиной и сахаром;11,90;7,90;60,80;362,00;
Овсяная каша Myllyn Paras с отрубями, вишней и сливой;15,50;7,20;50,60;333,00;
Овсяная каша Myllyn Paras с отрубями, яблоком и чёрной смородиной;15,20;7,00;51,10;333,00;
Овсяная каша Myllyn Paras с персиком без сахара;11,90;7,90;56,30;353,00;
Овсяная каша Myllyn Paras с персиком и сахаром;11,60;7,60;60,70;357,00;
Овсяная каша Myllyn Paras с тропическими фруктами;11,10;5,80;62,80;348,00;
Овсяная каша Myllyn Paras с черникой без сахара;11,90;7,90;56,30;353,00;
Овсяная каша Myllyn Paras с черникой и сахаром;11,60;7,70;61,70;362,00;
Овсяная каша Myllyn Paras с шоколадом и апельсином;10,50;8,00;62,20;363,00;
Овсяная каша Myllyn Paras с яблоком и брусникой;10,40;5,50;63,80;346,00;
Овсяная каша Myllyn Paras Тропик с сахаром;11,70;7,80;61,80;364,00;
Овсяная каша Мистраль Малиновый мильфей;8,80;3,10;65,20;347,00;
Овсяная каша Мистраль Тирамису;9,30;6,50;65,70;355,00;
Овсяная каша Мистраль Черничный чизкейк;9,30;6,60;64,70;351,00;
Овсяная каша Мистраль Яблоко-Груша;10,50;6,30;56,60;337,00;
Овсяная каша Мистраль Ягодный мусс;10,50;5,90;68,40;363,00;
Овсяная каша на воде;3,00;1,70;15,00;88,00;
Овсяная каша на молоке;3,20;4,10;14,20;102,00;
Овсяная крупа;12,30;6,10;59,50;342,00;
Овсяная манка Гарнец безглютеновая;12,30;6,10;59,50;342,00;
Овсяно-Манная крупа Myllyn Paras;14,50;5,10;69,10;345,00;
Овсяные + Рисовые хлопья Myllyn Paras;10,30;4,00;68,00;346,00;
Овсяные волокна Evolution Food;0,80;0,10;90,40;8,00;
Овсяные отруби;18,00;7,70;45,30;320,00;
Овсяные отруби Dr, Dias очищающие;10,80;2,60;16,60;129,00;
Овсяные отруби Myllyn Paras;18,00;7,70;45,30;320,00;
Овсяные отруби Nordic;18,00;8,50;43,00;360,00;
Овсяные отруби Диадар хрустящие;13,50;4,80;25,00;197,00;
Овсяные отруби Лента ECO быстрого приготовления;11,00;7,50;58,00;370,00;
Овсяные отруби Мистраль;17,80;6,90;65,80;346,00;
Овсяные отруби Ого!;12,50;4,50;62,00;356,00;
Овсяные отруби с черникой;8,00;4,00;13,00;118,00;
Овсяные хлопья;11,90;7,20;69,30;366,00;
Овсяные хлопья + Отруби Myllyn Paras;16,20;7,60;50,00;335,00;
Овсяные хлопья 4 Life органические;14,00;6,50;56,00;340,00;
Овсяные хлопья Bruggen Haferflocken цельные;13,50;7,00;58,70;372,00;
Овсяные хлопья Makfa;13,00;6,00;70,00;380,00;
Овсяные хлопья Makfa с отрубями;14,00;5,00;62,00;345,00;
Овсяные хлопья Myllyn Paras;14,00;7,50;56,00;350,00;
Овсяные хлопья Myllyn Paras быстрого приготовления;14,00;7,50;56,00;350,00;
Овсяные хлопья Myllyn Paras крупные;14,00;7,50;56,00;359,00;
Овсяные хлопья Nordic с овсяными отрубями;15,00;8,00;53,00;370,00;
Овсяные хлопья Nordic с пшеничными отрубями;15,00;7,60;47,00;360,00;
Овсяные хлопья Геркулес;12,50;6,20;61,00;352,00;
Овсяные хлопья Геркулес Makfa традиционный;12,00;6,00;62,00;350,00;
Овсяные хлопья Геркулес Агро-Альянс Классик;11,00;6,00;51,00;310,00;
Овсяные хлопья Геркулес Лидкон;11,00;6,00;50,00;300,00;
Овсяные хлопья Геркулес Националь;11,00;6,00;49,00;290,00;
Овсяные хлопья Геркулес Русский продукт Монастырский;12,00;6,00;62,00;350,00;
Овсяные хлопья Геркулес Фитнес с отрубями;12,30;6,30;61,20;351,00;
Овсяные хлопья Геркулес Царь;12,00;6,00;62,00;350,00;
Овсяные хлопья Здоровое меню Зерновые Экстра с нутом;14,50;5,50;58,00;357,00;
Овсяные хлопья Лента Средний размер;12,00;6,00;51,00;306,00;
Овсяные хлопья Пассим;10,00;6,00;68,00;377,00;
Овсяные хлопья РБК ГОСТ 21149-93;13,60;6,70;68,90;388,00;
Овсяные хлопья Увелка тонкие;11,00;6,20;50,20;305,00;
Овсяные хлопья Увелка традиционные;12,00;6,00;72,00;390,00;
Овсяные хлопья Ясно Солнышко с овсяными отрубями;11,00;7,00;48,00;340,00;
Овсяные хлопья Ясно Солнышко №1;12,00;6,00;51,00;310,00;
Овсяные хлопья Ясно Солнышко №2;12,00;6,00;51,00;310,00;
Овсяные хлопья №2 Агро-Альянс;12,00;5,00;70,00;390,00;
Отруби сибирские ВкусВилл Сила гречихи;12,00;3,90;62,50;367,00;
Отруби сибирские Сила фруктов, хрустящие шарики;12,00;2,50;40,00;230,00;
Перловая каша на воде;3,10;0,40;22,20;109,00;
Перловая каша рассыпчатая;3,10;0,40;23,00;106,00;
Перловая крупа;9,30;1,10;73,70;320,00;
Перловая крупа Makfa;9,30;1,10;66,90;315,00;
Перловая крупа Makfa в пакетиках;9,30;1,10;66,90;315,00;
Перловая крупа Мистраль Барли;12,10;0,80;73,40;349,00;
Плов Готово! с грибами;7,00;1,00;65,00;300,00;
Полба;14,70;2,20;61,20;337,00;
Полба Увелка в пакетиках для варки;15,00;2,00;73,00;370,00;
Полбяная каша на воде;5,50;0,90;26,50;127,00;
Пшеница воздушная На Здоровье! со вкусом шоколада;9,90;4,60;79,60;399,00;
Пшеница пророщенная;7,50;1,30;41,40;198,00;
Пшеничная каша Myllyn Paras;13,00;2,00;62,50;325,00;
Пшеничная крупа;11,50;1,30;62,00;316,00;
Пшеничная крупа Makfa Артек;11,00;1,20;68,50;329,00;
Пшеничная крупа Makfa Полтавская в пакетиках;11,50;1,30;67,90;329,00;
Пшеничная крупа Агро-Альянс;13,00;1,00;71,00;340,00;
Пшеничная крупа Мистраль кускус;12,00;2,00;72,00;350,00;
Пшеничные зерна мягких сортов;11,80;2,20;59,50;305,00;
Пшеничные зерна твёрдых сортов;13,00;2,50;57,50;304,00;
Пшеничные отруби;14,70;4,10;20,60;180,00;
Пшеничные отруби Ого!;13,80;2,80;61,40;326,00;
Пшеничные хлопья;16,00;1,00;70,00;336,00;
Пшеничные хлопья Nordic;11,00;2,60;61,00;340,00;
Пшённая каша Myllyn Paras;11,20;3,90;55,30;305,00;
Пшенная каша вязкая на воде;3,00;0,70;17,00;90,00;
Пшенная каша рассыпчатая;4,70;1,10;26,10;135,00;
Пшенная крупа;11,50;3,30;69,30;348,00;
Пшенная крупа Мистраль шлифованная;11,50;3,30;66,50;342,00;
Пшенно-гречневые хлопья Алтайская сказка;12,50;3,20;66,90;347,00;
Пшенно-рисовые хлопья Агро-Альянс;10,00;4,00;73,00;370,00;
Пшенные хлопья Nordic;12,00;2,90;69,30;334,00;
Пшено элитное Агро-Альянс;12,00;3,00;69,00;350,00;
Ржаные отруби;11,20;3,20;32,00;221,00;
Ржаные отруби Диадар Бородинские хрустящие;13,20;3,20;27,00;190,00;
Ржаные отруби Ого!;13,00;2,00;40,00;274,00;
Ржаные хлопья;6,40;3,20;82,60;343,00;
Ржаные хлопья Myllyn Paras;9,70;2,00;61,30;305,00;
Ризотто Yelli с белыми грибами;8,00;1,50;74,00;340,00;
Ризотто Yelli с томатами и базиликом;7,00;1,00;77,00;350,00;
Рис 4 сезона для жарки;2,00;0,50;22,00;110,00;
Рис Bravolli Карнароли для ризотто;7,00;1,00;80,00;360,00;
Рис Bravolli Четыре риса;11,00;0,50;72,00;340,00;
Рис Makfa длиннозерный;7,00;1,00;74,00;333,00;
Рис Makfa длиннозерный в пакетиках;7,00;1,00;74,00;333,00;
Рис Makfa длиннозерный пропаренный;7,00;1,00;74,00;333,00;
Рис Makfa длиннозерный пропаренный в пакетиках;7,00;1,00;74,00;333,00;
Рис Makfa круглозерный;7,00;1,00;74,00;333,00;
Рис Makfa круглозерный в пакетиках;7,00;1,00;74,00;333,00;
Рис Yelli Басмати с овощами Бириани;7,00;1,00;77,00;350,00;
Рис Агро-Альянс бурый Slim&Fit;7,50;2,00;77,00;380,00;
Рис Агро-Альянс для плова;6,50;9,00;79,00;420,00;
Рис Агро-Альянс для ризотто Арборио;6,50;1,00;75,00;340,00;
Рис Агро-Альянс для суши и японской кухни;8,00;0,40;77,00;340,00;
Рис Агро-Альянс Жасмин;7,50;0,20;76,00;340,00;
Рис Агро-Альянс красный Рубин;7,50;2,00;69,00;340,00;
Рис Агро-Альянс кубанский Элитный;6,50;0,50;75,00;330,00;
Рис Агро-Альянс пропаренный Gold;6,50;1,00;79,00;350,00;
Рис Агро-Альянс Смесь золотистого и дикого;8,00;1,00;76,00;340,00;
Рис Агро-Альянс Супер Басмати;9,50;0,20;75,00;340,00;
Рис Агро-Альянс черный Южная ночь;6,50;2,50;52,00;260,00;
Рис Арборио;6,50;0,70;75,40;330,00;
Рис белый;6,70;0,70;78,90;344,00;
Рис белый вареный;2,20;0,50;24,90;116,00;
Рис бурый;7,40;1,80;72,90;337,00;
Рис Дикий + Парбоилд Worlds Rice;13,70;1,00;74,20;358,00;
Рис дикий вареный;4,00;0,30;21,10;100,00;
Рис дикий чёрный;4,10;0,40;21,00;101,00;
Рис длиннозерный;7,10;0,70;78,00;365,00;
